backend,num_states,table_mb,throughput_gbps
cuda,2048,2,72.9
triton,2048,2,23.8
warp,2048,2,43.7
cuda,8192,8,530.7
triton,8192,8,28.8
warp,8192,8,94.4
cuda,16384,16,108.1
triton,16384,16,26.0
warp,16384,16,52.6
cuda,32768,32,347.2
triton,32768,32,27.8
warp,32768,32,66.5
cuda,40960,40,165.5
triton,40960,40,26.1
warp,40960,40,54.9
cuda,49152,48,276.5
triton,49152,48,25.9
warp,49152,48,68.0
cuda,81920,80,402.7
triton,81920,80,26.3
warp,81920,80,67.3
cuda,131072,128,238.1
triton,131072,128,29.9
warp,131072,128,64.4
