states,seed,n_strings,cu_gbps,wp_gbps,wp2_gbps,gpu
8,0,16384,732.25,290.38,360.09,RTX4070
8,1,16384,755.46,305.44,385.51,RTX4070
16,0,16384,728.68,309.13,391.26,RTX4070
16,1,16384,726.16,317.17,321.25,RTX4070
24,0,16384,697.66,275.36,356.17,RTX4070
24,1,16384,1786.33,438.0,555.1,RTX4070
32,0,16384,737.91,289.98,380.75,RTX4070
32,1,16384,751.67,306.24,415.77,RTX4070
8,0,4096,204.8,96.45,118.56,RTX4070
8,1,4096,256.0,132.13,174.53,RTX4070
16,0,4096,227.16,132.13,170.67,RTX4070
16,1,4096,256.0,141.17,178.09,RTX4070
24,0,4096,211.24,126.03,157.54,RTX4070
24,1,4096,630.15,109.04,128.0,RTX4070
32,0,4096,234.27,99.98,118.78,RTX4070
32,1,4096,240.94,102.4,119.1,RTX4070
